S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
207.,Shringar House,229.31,30.46,2211.28,0.00,28.51,67.71,332.61,22.70,31.55,
208.,Rashi Peripheral,335.20,10.41,2208.96,0.60,61.70,11.07,3152.14,-26.13,14.19,
209.,Veranda Learning,229.31,,2195.22,0.00,95.64,154.52,126.74,19.72,-12.96,
210.,Bajel Projects,185.41,161.72,2144.43,0.00,3.32,-39.86,607.64,18.68,12.86,
211.,Sula Vineyards,253.75,37.25,2142.41,1.42,1.94,-86.74,109.64,-9.34,13.25,
212.,Capital Infra,77.14,,2124.44,4.67,-73.72,,188.70,,,
213.,Kesar India,850.05,113.16,2108.09,0.00,2.87,-33.72,56.82,76.62,40.17,
214.,Garuda Cons,224.88,24.31,2092.32,0.01,27.14,164.78,116.46,149.11,30.09,
215.,Afcom Holdings,833.50,28.29,2071.89,0.00,27.07,4266.13,118.89,198.27,36.05,
216.,Ideaforge Tech,475.80,,2057.82,0.00,-19.62,-42.90,40.76,9.87,-9.69,
217.,All Time Plastic,308.75,42.17,2022.55,0.00,12.82,5.17,157.98,21.47,19.23,
218.,TCC Concept,559.60,43.31,1996.23,0.00,9.42,73.48,22.11,87.21,11.83,
219.,One Mobikwik,252.45,,1985.73,0.00,-26.98,-420.62,268.30,-7.34,-13.13,
220.,Concord Control,1958.20,87.49,1981.75,0.00,13.99,111.47,74.71,113.03,36.78,
221.,Stallion India,247.65,43.81,1964.49,0.00,11.42,1243.53,105.56,56.25,19.67,
222.,Orient Tech.,470.85,38.30,1960.70,0.38,10.03,8.08,212.56,42.80,26.52,
223.,Exicom Tele-Sys.,136.86,,1903.45,0.00,-83.14,-489.97,205.32,-18.55,-5.94,
224.,Divgi Torq,617.50,69.02,1888.50,0.42,8.93,49.83,71.68,32.18,5.69,
225.,Rhetan TMT Ltd,23.32,379.25,1858.31,0.00,0.76,-6.17,5.04,-73.95,4.47,
226.,Amic Forging,1597.25,90.05,1855.02,0.00,12.83,90.92,57.65,-22.75,27.89,
227.,BLS E-Services,202.32,33.26,1838.21,0.49,17.52,22.44,243.99,223.81,15.83,
228.,TAC Infosec,869.90,93.21,1823.24,0.00,15.57,78.87,29.49,137.82,43.69,
229.,Aimtron,875.95,51.47,1788.15,0.00,20.29,81.48,122.58,112.48,29.16,
230.,Dam Capital Advi,252.41,21.78,1784.19,0.40,0.23,-98.96,30.85,-30.58,64.08,
231.,Shanti Gold,241.57,31.18,1741.62,0.00,43.82,,430.08,,26.19,
232.,Laxmi Dental,316.60,75.26,1740.10,0.00,8.33,-27.83,65.60,9.94,19.20,
233.,Danish Power,881.30,29.75,1735.42,0.00,37.61,,261.58,,40.21,
234.,Sanstar,95.02,64.23,1731.68,0.00,-0.33,-102.00,168.85,-44.21,11.76,
235.,DEE Development,246.30,34.58,1702.63,0.00,17.79,-19.77,270.00,39.16,9.39,
236.,Khazanchi Jewell,685.55,33.36,1696.52,0.15,15.15,64.67,403.75,5.95,24.07,
237.,Suraksha Diagno.,324.05,50.71,1687.68,0.00,9.18,18.39,72.59,19.53,17.84,
238.,J.G.Chemicals,428.45,25.99,1678.93,0.23,16.36,3.75,218.01,7.64,20.00,
239.,Motisons Jewel,16.60,36.42,1634.20,0.00,8.03,26.86,87.05,-1.87,14.51,
240.,JNK,287.75,64.95,1610.07,0.10,1.17,-82.06,98.89,12.49,14.93,
241.,IKIO Tech,208.20,77.92,1608.98,0.00,2.38,-82.89,120.14,-5.43,8.22,
242.,HMA Agro Inds.,31.23,18.13,1563.90,0.96,0.60,-39.10,1122.61,57.53,11.81,
243.,Stanley Lifesty.,272.45,46.88,1556.39,0.00,7.80,107.89,108.70,7.94,10.13,
244.,Updater Services,231.08,12.68,1547.16,0.00,28.99,12.74,700.24,7.37,15.32,
245.,Platinum Industr,275.50,33.62,1513.18,0.00,13.08,-27.40,115.38,12.39,18.55,
246.,Ivalue Infosolut,281.45,18.05,1506.88,0.00,10.17,4.85,214.57,12.94,25.77,
247.,Virtuoso Optoel.,495.85,106.57,1505.79,0.00,6.58,,201.89,,12.64,
248.,Rishabh Instrum.,390.95,38.95,1503.96,0.00,19.63,441.21,190.33,12.39,5.43,
249.,CFF Fluid,693.75,61.01,1455.08,0.14,9.80,40.20,65.53,38.22,22.13,
250.,Vinyas Innovativ,1151.15,74.60,1448.69,0.00,12.41,27.94,247.14,37.34,16.28,
251.,ESAF Small Fin,27.86,,1436.32,0.00,-81.22,-229.39,828.23,-18.99,4.28,
252.,Unicommerce,127.79,78.84,1423.10,0.00,3.89,10.54,44.93,63.56,31.37,
253.,Yash Highvoltage,493.45,48.51,1408.86,0.20,14.02,119.41,100.14,75.53,,
254.,Diffusion Eng,372.85,34.19,1395.44,0.40,12.26,68.37,80.67,13.49,14.73,
255.,Suraj Estate,289.30,14.92,1382.08,0.00,33.10,3.99,144.56,32.51,17.27,
256.,Hariom Pipe,445.50,20.34,1379.59,0.14,23.61,34.84,460.96,34.32,14.11,
257.,Jaro Institute,621.50,28.35,1377.01,0.00,17.02,-15.37,80.41,8.24,39.89,
258.,Godavari Bioref.,267.75,,1370.24,0.00,-16.02,38.64,533.24,2.05,5.79,
259.,Western Carriers,132.90,23.76,1354.98,0.00,10.79,-42.91,415.82,-1.63,13.16,
260.,SRM Contractors,586.45,22.91,1345.56,0.00,13.06,179.06,143.09,163.91,31.05,
261.,Quadrant Future,335.95,,1343.80,0.00,-13.50,-45.79,28.73,12.62,-7.01,
262.,Arisinfra Solu.,165.40,887.77,1340.54,0.00,5.12,-20.52,212.08,11.39,12.26,
263.,Gandhar Oil Ref.,133.53,17.33,1306.99,0.37,26.09,-14.92,902.96,-9.23,10.59,
264.,Sathlokhar Sys.,538.55,30.39,1299.95,0.00,26.32,18.29,257.49,28.38,53.42,
265.,STL Networks,26.59,,1297.38,0.00,-22.42,-2364.65,189.95,-46.46,,
266.,IRM Energy,311.00,31.59,1276.96,0.48,13.92,-25.56,262.50,16.49,8.26,
267.,Mangal Electrica,461.15,27.95,1274.16,0.00,3.73,-31.56,89.66,-21.57,30.43,
268.,Signpost India,234.26,33.11,1252.12,0.21,15.28,36.31,137.65,37.01,15.41,
269.,Capital Small,273.20,9.15,1237.22,1.46,34.89,4.65,256.46,14.70,7.04,
270.,Ecos (India),204.93,21.27,1229.58,1.17,13.26,0.08,177.64,23.31,34.46,
271.,OSEL Devices,691.35,61.01,1223.32,0.00,12.04,55.76,99.12,21.55,31.14,
